Name,FIPS,Median_Value_of_Home_2018,Median_Value_of_Home_2000
Hawaii,15,508308,249366
District of Columbia,11,457616,153416
California,6,377893,205558
Massachusetts,25,331259,182772
New Jersey,34,327434,167879
Maryland,24,297577,143230
New York,36,291784,147691
Connecticut,9,281948,160643
Washington,53,268385,158836
Virginia,51,252896,118797
Rhode Island,44,251893,130497
New Hampshire,33,244341,127500
Oregon,41,242785,145785
Alaska,2,242615,137328
Colorado,8,241575,160170
Delaware,10,240478,122006
Vermont,50,220056,111222
Utah,49,217044,142595
Minnesota,27,191287,118041
Montana,30,188594,95954
Wyoming,56,188199,92149
Illinois,17,185143,119164
Nevada,32,183386,132632
Maine,23,174646,94633
Arizona,4,171409,109437
Wisconsin,55,169778,109955
Pennsylvania,42,167605,95013
Idaho,16,165830,102126
Florida,12,165380,93616
New Mexico,35,160378,94605
North Carolina,37,157782,96097
Georgia,13,156669,100668
Tennessee,47,143945,88969
Louisiana,22,141605,77502
South Carolina,45,141194,83445
Missouri,29,140126,87326
South Dakota,46,135037,74371
Ohio,39,134740,100477
Texas,48,133822,77925
Kansas,20,133073,81043
North Dakota,38,131449,68221
Nebraska,31,131256,87155
Iowa,19,127550,82239
Alabama,1,125976,76774
Indiana,18,125950,92911
Michigan,26,125499,110252
Kentucky,21,122445,79560
Oklahoma,40,114614,68106
Arkansas,5,109836,67733
Mississippi,28,102629,65021
West Virginia,54,100287,66184