state,education0,education8,age,Age,place
Colorado,21.2039,24.3162,25.3,29.37,1
Minnesota,19.1111,23.7033,25.9,29.68,2
Vermont,19.0295,23.43,26.3,29.52,3
Massachusetts,18.9952,22.9018,27.8,30.76,4
New Jersey,18.2031,23.2757,27.1,30.47,5
New Hampshire,18.0527,22.5833,26.7,29.62,6
Virginia,17.9116,21.7478,25.7,29.36,7
District of Columbia,17.8173,22.6103,25.7,30.41,8
Hawaii,17.7989,21.6079,25.5,29.35,9
Washington,17.7835,21.1021,25.3,29.49,10
Maryland,17.7,21.1624,26.1,29.88,11
Montana,17.4329,21.4168,24.2,28.36,12
Connecticut,17.4031,21.2338,27.2,30.37,13
North Dakota,17.3296,21.9846,24.3,28.5,14
Alaska,17.2125,20.3945,24.1,28.42,15
Utah,16.7892,20.4081,23.3,28.53,16
California,16.7028,20.4544,25.3,29.82,17
Kansas,16.6231,20.5245,24,28.17,18
Nebraska,16.5631,20.3818,24.5,28.62,19
Illinois,16.0669,20.4879,25.1,29.28,20
Oregon,15.977,19.4426,24.7,29.32,21
South Dakota,15.9371,20.1903,23.7,28.26,22
Wisconsin,15.425,19.7686,25.1,28.95,23
Georgia,15.3695,18.3173,24.4,28.3,24
Delaware,15.2924,18.5873,25,28.8,25
North Carolina,15.2745,19.2349,24.5,28.36,26
Maine,15.1827,19.504,25.3,28.9,27
Wyoming,15.0587,17.6237,23.2,27.87,28
Texas,14.9976,18.3806,23.7,28.11,29
New York,14.8553,19.2405,26.4,30.11,30
Rhode Island,14.7445,18.6615,25.9,29.52,31
Iowa,14.7428,19.6028,24.4,28.47,32
Arizona,14.2134,17.2495,23.8,28.21,33
Idaho,14.131,17.5716,23.5,27.97,34
New Mexico,13.4475,15.0646,23,27.52,35
Missouri,13.3426,17.3855,24,28.03,36
Florida,13.3352,17.532,24.9,28.91,37
Pennsylvania,13.1364,17.5986,25.6,29.03,38
Michigan,13.1238,16.8254,25,28.51,39
Ohio,12.9893,16.6039,24.5,28.16,40
Oklahoma,12.9703,16.7475,23.1,27.27,41
South Carolina,12.9223,16.2067,23.7,27.98,42
Louisiana,12.1788,15.532,23,27.45,43
Tennessee,12.1703,16.21,23.8,27.66,44
Alabama,11.4903,14.7884,23.3,27.29,45
Indiana,11.3887,15.8956,23.9,27.81,46
Nevada,11.3519,15.2877,24.2,28.52,47
Mississippi,10.9992,14.0512,22.5,26.76,48
Arkansas,10.703,14.2003,22.7,26.87,49
Kentucky,9.5716,13.2853,23.6,27.33,50
West Virginia,8.3584,11.9775,23.5,27.02,51